 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-10-22;"30,755"
2-10-22;"31,357"
3-10-22;"35,350"
4-10-22;"42,093"
5-10-22;"16,149"
6-10-22;"44,077"
7-10-22;"36,868"
8-10-22;"41,603"
9-10-22;"43,093"
10-10-22;"23,225"
11-10-22;"36,483"
12-10-22;"31,805"
13-10-22;"13,331"
14-10-22;"11,695"
15-10-22;"18,676"
16-10-22;"30,991"
17-10-22;"8,861"
18-10-22;"33,517"
19-10-22;"33,748"
20-10-22;"16,429"
21-10-22;"22,685"
22-10-22;"23,353"
23-10-22;"13,298"
24-10-22;"16,321"
25-10-22;"24,413"
26-10-22;"24,512"
27-10-22;"15,065"
28-10-22;"17,711"
29-10-22;"20,908"
30-10-22;"18,766"
31-10-22;"11,873"
