 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-7-23;"32,962"
2-7-23;"63,582"
3-7-23;"53,300"
4-7-23;"60,803"
5-7-23;"69,663"
6-7-23;"72,654"
7-7-23;"94,728"
8-7-23;"78,323"
9-7-23;"58,787"
10-7-23;"84,775"
11-7-23;"79,465"
12-7-23;"63,788"
13-7-23;"64,555"
14-7-23;"59,802"
15-7-23;"59,080"
16-7-23;"55,134"
17-7-23;"70,784"
18-7-23;"81,678"
19-7-23;"60,149"
20-7-23;"50,629"
21-7-23;"62,561"
22-7-23;"41,357"
23-7-23;"39,867"
24-7-23;"48,623"
25-7-23;"60,347"
26-7-23;"69,460"
27-7-23;"24,270"
28-7-23;"38,082"
29-7-23;"52,259"
30-7-23;"49,046"
31-7-23;"18,372"
