 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-1-23;"5,399"
2-1-23;"5,102"
3-1-23;"5,757"
4-1-23;"2,865"
5-1-23;"7,952"
6-1-23;"10,609"
7-1-23;"9,394"
8-1-23;"12,372"
9-1-23;"6,503"
10-1-23;"5,518"
11-1-23;"13,586"
12-1-23;"2,021"
13-1-23;"3,714"
14-1-23;"1,814"
15-1-23;"10,422"
16-1-23;"5,196"
17-1-23;"15,045"
18-1-23;"15,436"
19-1-23;"14,322"
20-1-23;"0,793"
21-1-23;"9,325"
22-1-23;"2,374"
23-1-23;"6,157"
24-1-23;"4,180"
25-1-23;"3,894"
26-1-23;"9,803"
27-1-23;"5,363"
28-1-23;"17,704"
29-1-23;"5,885"
30-1-23;"15,243"
31-1-23;"9,041"
