 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-3-22;
2-3-22;
3-3-22;
4-3-22;
5-3-22;
6-3-22;
7-3-22;"30,526"
8-3-22;"50,153"
9-3-22;"48,826"
10-3-22;"49,432"
11-3-22;"45,929"
12-3-22;"42,041"
13-3-22;"44,284"
14-3-22;"31,805"
15-3-22;"24,352"
16-3-22;"29,504"
17-3-22;"36,706"
18-3-22;"55,099"
19-3-22;"57,940"
20-3-22;"28,688"
21-3-22;"53,690"
22-3-22;"52,441"
23-3-22;"55,510"
24-3-22;"55,898"
25-3-22;"57,873"
26-3-22;"58,522"
27-3-22;"50,094"
28-3-22;"55,741"
29-3-22;"36,984"
30-3-22;"51,792"
31-3-22;"19,925"
