 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-4-23;"13,953"
2-4-23;"42,645"
3-4-23;"71,990"
4-4-23;"69,416"
5-4-23;"66,376"
6-4-23;"17,360"
7-4-23;"18,467"
8-4-23;"47,564"
9-4-23;"56,062"
10-4-23;"24,793"
11-4-23;"63,918"
12-4-23;"46,231"
13-4-23;"52,314"
14-4-23;"62,034"
15-4-23;"77,082"
16-4-23;"11,470"
17-4-23;"49,331"
18-4-23;"45,290"
19-4-23;"79,752"
20-4-23;"29,075"
21-4-23;"64,291"
22-4-23;"29,194"
23-4-23;"43,275"
24-4-23;"33,241"
25-4-23;"66,060"
26-4-23;"44,214"
27-4-23;"70,097"
28-4-23;"24,133"
29-4-23;"51,063"
30-4-23;"73,262"
