 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-12-22;"11,814"
2-12-22;"4,181"
3-12-22;"1,785"
4-12-22;"2,543"
5-12-22;"1,936"
6-12-22;"11,292"
7-12-22;"7,895"
8-12-22;"4,730"
9-12-22;"11,602"
10-12-22;"3,947"
11-12-22;"2,512"
12-12-22;"12,506"
13-12-22;"7,207"
14-12-22;"10,970"
15-12-22;"11,147"
16-12-22;"13,032"
17-12-22;"8,337"
18-12-22;"4,910"
19-12-22;"3,930"
20-12-22;"1,806"
21-12-22;"6,260"
22-12-22;"4,770"
23-12-22;"1,676"
24-12-22;"7,389"
25-12-22;"2,086"
26-12-22;"6,963"
27-12-22;"8,126"
28-12-22;"2,508"
29-12-22;"4,610"
30-12-22;"2,732"
31-12-22;"2,956"
