 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-11-22;"25,000"
2-11-22;"24,064"
3-11-22;"10,891"
4-11-22;"17,089"
5-11-22;"16,215"
6-11-22;"8,799"
7-11-22;"9,862"
8-11-22;"13,013"
9-11-22;"14,712"
10-11-22;"19,154"
11-11-22;"16,889"
12-11-22;"20,602"
13-11-22;"21,630"
14-11-22;"19,799"
15-11-22;"13,298"
16-11-22;"13,597"
17-11-22;"4,633"
18-11-22;"8,681"
19-11-22;"5,418"
20-11-22;"5,411"
21-11-22;"12,462"
22-11-22;"4,474"
23-11-22;"9,350"
24-11-22;"15,145"
25-11-22;"13,529"
26-11-22;"13,307"
27-11-22;"3,670"
28-11-22;"6,730"
29-11-22;"5,636"
30-11-22;"7,640"
