 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-5-23;"46,684"
2-5-23;"75,137"
3-5-23;"85,115"
4-5-23;"76,950"
5-5-23;"38,806"
6-5-23;"55,125"
7-5-23;"40,361"
8-5-23;"46,753"
9-5-23;"18,137"
10-5-23;"28,780"
11-5-23;"43,442"
12-5-23;"50,679"
13-5-23;"85,856"
14-5-23;"74,680"
15-5-23;"22,741"
16-5-23;"69,018"
17-5-23;"83,699"
18-5-23;"84,278"
19-5-23;"88,711"
20-5-23;"87,295"
21-5-23;"70,707"
22-5-23;"74,019"
23-5-23;"63,175"
24-5-23;"59,154"
25-5-23;"62,981"
26-5-23;"94,043"
27-5-23;"92,896"
28-5-23;"88,135"
29-5-23;"85,988"
30-5-23;"91,182"
31-5-23;"93,546"
