 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-5-22;"65,864"
2-5-22;"84,230"
3-5-22;"53,477"
4-5-22;"73,309"
5-5-22;"54,055"
6-5-22;"73,849"
7-5-22;"48,095"
8-5-22;"87,189"
9-5-22;"84,076"
10-5-22;"48,727"
11-5-22;"82,827"
12-5-22;"80,364"
13-5-22;"73,301"
14-5-22;"81,717"
15-5-22;"87,770"
16-5-22;"57,969"
17-5-22;"65,206"
18-5-22;"77,521"
19-5-22;"44,833"
20-5-22;"38,601"
21-5-22;"68,697"
22-5-22;"87,185"
23-5-22;"27,043"
24-5-22;"57,823"
25-5-22;"54,379"
26-5-22;"69,469"
27-5-22;"86,175"
28-5-22;"81,553"
29-5-22;"51,496"
30-5-22;"58,730"
31-5-22;"57,937"
