 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-4-22;"11,628"
2-4-22;"41,534"
3-4-22;"47,081"
4-4-22;"13,832"
5-4-22;"18,748"
6-4-22;"11,264"
7-4-22;"31,721"
8-4-22;"34,937"
9-4-22;"50,226"
10-4-22;"69,777"
11-4-22;"68,263"
12-4-22;"60,662"
13-4-22;"30,401"
14-4-22;"62,430"
15-4-22;"52,752"
16-4-22;"77,948"
17-4-22;"81,599"
18-4-22;"76,086"
19-4-22;"68,796"
20-4-22;"79,371"
21-4-22;"77,889"
22-4-22;"41,982"
23-4-22;"63,728"
24-4-22;"74,885"
25-4-22;"22,093"
26-4-22;"63,225"
27-4-22;"82,492"
28-4-22;"80,229"
29-4-22;"52,191"
30-4-22;"33,431"
