 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-7-22;"57,548"
2-7-22;"74,786"
3-7-22;"73,557"
4-7-22;"76,573"
5-7-22;"74,476"
6-7-22;"70,951"
7-7-22;"45,334"
8-7-22;"91,624"
9-7-22;"67,957"
10-7-22;"71,178"
11-7-22;"68,804"
12-7-22;"75,472"
13-7-22;"52,566"
14-7-22;"76,623"
15-7-22;"75,332"
16-7-22;"86,059"
17-7-22;"87,529"
18-7-22;"85,339"
19-7-22;"83,939"
20-7-22;"56,251"
21-7-22;"12,101"
22-7-22;"64,426"
23-7-22;"78,702"
24-7-22;"86,279"
25-7-22;"49,055"
26-7-22;"42,834"
27-7-22;"62,248"
28-7-22;"71,649"
29-7-22;"80,366"
30-7-22;"62,082"
31-7-22;"34,812"
