 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-9-22;"66,355"
2-9-22;"60,409"
3-9-22;"57,578"
4-9-22;"-1969,162"
5-9-22;"2078,715"
6-9-22;"56,545"
7-9-22;"52,799"
8-9-22;"41,882"
9-9-22;"22,395"
10-9-22;"42,258"
11-9-22;"54,611"
12-9-22;"55,848"
13-9-22;"35,255"
14-9-22;"11,751"
15-9-22;"26,740"
16-9-22;"28,486"
17-9-22;"38,696"
18-9-22;"16,868"
19-9-22;"42,810"
20-9-22;"30,195"
21-9-22;"52,415"
22-9-22;"51,705"
23-9-22;"27,656"
24-9-22;"9,805"
25-9-22;"42,093"
26-9-22;"11,972"
27-9-22;"16,173"
28-9-22;"40,182"
29-9-22;"42,639"
30-9-22;"40,761"
