 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-8-22;"75,152"
2-8-22;"81,815"
3-8-22;"78,154"
4-8-22;"55,953"
5-8-22;"70,474"
6-8-22;"73,535"
7-8-22;"82,992"
8-8-22;"75,363"
9-8-22;"82,043"
10-8-22;"79,432"
11-8-22;"78,223"
12-8-22;"76,377"
13-8-22;"76,268"
14-8-22;"68,619"
15-8-22;"37,951"
16-8-22;"57,694"
17-8-22;"17,852"
18-8-22;"50,219"
19-8-22;"38,385"
20-8-22;"59,887"
21-8-22;"60,399"
22-8-22;"54,660"
23-8-22;"57,792"
24-8-22;"58,016"
25-8-22;"57,766"
26-8-22;"19,738"
27-8-22;"51,493"
28-8-22;"63,873"
29-8-22;"62,998"
30-8-22;"58,015"
31-8-22;"59,521"
