 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-3-23;"43,663"
2-3-23;"43,290"
3-3-23;"27,488"
4-3-23;"15,811"
5-3-23;"19,687"
6-3-23;"19,239"
7-3-23;"12,610"
8-3-23;"4,872"
9-3-23;"9,662"
10-3-23;"11,270"
11-3-23;"41,815"
12-3-23;"22,745"
13-3-23;"40,089"
14-3-23;"28,907"
15-3-23;"45,758"
16-3-23;"45,043"
17-3-23;"33,930"
18-3-23;"30,436"
19-3-23;"27,089"
20-3-23;"17,376"
21-3-23;"23,271"
22-3-23;"13,318"
23-3-23;"30,054"
24-3-23;"36,344"
25-3-23;"35,066"
26-3-23;"20,384"
27-3-23;"53,981"
28-3-23;"35,800"
29-3-23;"29,280"
30-3-23;"40,329"
31-3-23;"20,337"
