 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-2-23;"10,557"
2-2-23;"9,770"
3-2-23;"8,819"
4-2-23;"6,776"
5-2-23;"17,307"
6-2-23;"20,740"
7-2-23;"26,946"
8-2-23;"28,300"
9-2-23;"18,336"
10-2-23;"15,726"
11-2-23;"8,406"
12-2-23;"6,820"
13-2-23;"28,273"
14-2-23;"30,070"
15-2-23;"26,430"
16-2-23;"16,278"
17-2-23;"10,958"
18-2-23;"13,696"
19-2-23;"11,957"
20-2-23;"8,875"
21-2-23;"5,974"
22-2-23;"13,467"
23-2-23;"13,076"
24-2-23;"14,155"
25-2-23;"31,904"
26-2-23;"41,296"
27-2-23;"35,248"
28-2-23;"37,032"
