 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-8-23;"47,754"
2-8-23;"45,245"
3-8-23;"37,519"
4-8-23;"63,835"
5-8-23;"31,099"
6-8-23;"27,983"
7-8-23;"55,473"
8-8-23;"49,934"
9-8-23;"71,145"
10-8-23;"78,081"
11-8-23;"62,837"
12-8-23;"57,617"
13-8-23;"46,304"
14-8-23;"73,084"
15-8-23;"54,395"
16-8-23;"56,308"
17-8-23;"31,284"
18-8-23;"53,086"
19-8-23;"40,056"
20-8-23;"68,475"
21-8-23;"67,531"
22-8-23;"54,573"
23-8-23;"70,799"
24-8-23;"34,885"
25-8-23;"24,735"
26-8-23;"52,215"
27-8-23;"45,247"
28-8-23;"43,651"
29-8-23;"38,897"
30-8-23;"49,931"
31-8-23;"44,150"
